ID Dataset;Area del Conocimiento;Categoría;Red Institucional;Tipo de Lugar de Trabajo;Provincia laboral;Rango de Edad;Género
2020-07177;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;40 a 49;Mujeres
2020-01982;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;40 a 49;Mujeres
2020-03584;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;40 a 49;Mujeres
2020-03670;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;40 a 49;Mujeres
2020-03832;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;40 a 49;Mujeres
2020-03964;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;40 a 49;Mujeres
2020-03994;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;40 a 49;Mujeres
2020-04128;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;40 a 49;Mujeres
2020-04196;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;40 a 49;Mujeres
2020-04320;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;40 a 49;Mujeres
2020-04609;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-04736;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;40 a 49;Mujeres
2020-04742;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;40 a 49;Mujeres
2020-04828;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;40 a 49;Mujeres
2020-04843;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;40 a 49;Mujeres
2020-10702;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-04993;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;40 a 49;Mujeres
2020-05011;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;40 a 49;Mujeres
2020-05567;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-05602;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;40 a 49;Mujeres
2020-05626;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;40 a 49;Mujeres
2020-05617;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;40 a 49;Mujeres
2020-05636;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-05308;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;40 a 49;Mujeres
2020-05776;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-05807;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-05690;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-05735;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;40 a 49;Mujeres
2020-05741;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;40 a 49;Mujeres
2020-05749;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;40 a 49;Mujeres
2020-05960;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;40 a 49;Mujeres
2020-06068;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;40 a 49;Mujeres
2020-07091;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;40 a 49;Mujeres
2020-07065;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;40 a 49;Mujeres
2020-07363;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;40 a 49;Mujeres
2020-07436;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-07455;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-07479;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;40 a 49;Mujeres
2020-07565;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;40 a 49;Mujeres
2020-07493;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-07533;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-07526;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;40 a 49;Mujeres
2020-07584;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-07541;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-07666;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;40 a 49;Mujeres
2020-07735;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-08578;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;40 a 49;Mujeres
2020-08640;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;40 a 49;Mujeres
2020-08634;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-08772;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-08909;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-08913;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-08920;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-08904;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-08993;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;40 a 49;Mujeres
2020-10132;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-10333;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-10316;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-10335;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-10346;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;40 a 49;Mujeres
2020-10356;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-10380;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-10381;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-10403;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-10469;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;40 a 49;Mujeres
2020-10432;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-10464;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-10455;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-10472;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-10492;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-10505;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-10524;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;40 a 49;Mujeres
2020-10535;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-10534;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-10570;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-10576;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-10598;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-10783;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-10850;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-11111;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-11099;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-11105;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-11176;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-11171;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-11210;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-11256;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-11229;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-11320;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-11270;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-11283;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-11299;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;40 a 49;Mujeres
2020-11340;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-11363;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-11351;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-11336;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;40 a 49;Mujeres
2020-11366;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-11372;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-10843;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-11764;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-11847;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-11816;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-04543;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Universidades y otros Organismos de Ciencia y Técnica;Universidades de Gestión Pública;Buenos Aires;40 a 49;Mujeres
2020-04845;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Universidades y otros Organismos de Ciencia y Técnica;Universidades de Gestión Pública;Buenos Aires;40 a 49;Mujeres
2020-05668;KA - Ciencias Agrarias, de la Ingeniería y de Materiales;Inv. Asistente;Universidades y otros Organismos de Ciencia y Técnica;Universidades de Gestión Pública;Buenos Aires;40 a 49;Mujeres
